source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.7,0.0,0.6,0.2,-0.2,1.2999999999999998,0.0
0.7,0.0,0.95,0.2,-0.2,1.2999999999999998,0.0
0.7,0.0,1.2999999999999998,0.2,-0.2,1.2999999999999998,0.0
0.7,0.0,1.65,0.2,-0.2,1.2999999999999998,0.0
0.7,0.0,2.0,0.2,-0.2,1.2999999999999998,0.0
0.7,0.20000000000000007,0.6,1.2,0.4,0.6,0.03289595920991293
0.7,0.20000000000000007,0.95,1.2,0.4,0.6,0.004970584381028091
0.7,0.20000000000000007,1.2999999999999998,1.2,0.4,0.6,0.0003629418665426254
0.7,0.20000000000000007,1.65,0.7,0.4,0.6,3.5129185644145335e-05
0.7,0.20000000000000007,2.0,0.2,0.4,0.6,4.5414980207247736e-06
0.7,0.4,0.6,1.2,0.4,0.6,0.19026130139530095
0.7,0.4,0.95,1.2,0.4,0.6,0.06541300107738057
0.7,0.4,1.2999999999999998,1.2,0.4,0.6,0.025215104983375442
0.7,0.4,1.65,1.2,0.4,0.6,0.009976237526268009
0.7,0.4,2.0,1.2,0.4,0.6,0.0036921468040966854
0.95,-0.4,0.6,1.2,-0.4,0.6,0.1910549662806702
0.95,-0.4,0.95,1.2,-0.4,0.6,0.0659003038949522
0.95,-0.4,1.2999999999999998,1.2,-0.4,0.6,0.02553763662613247
0.95,-0.4,1.65,1.2,-0.4,0.6,0.010198475979460374
0.95,-0.4,2.0,1.2,-0.4,0.6,0.0038474553748838827
0.95,-0.2,0.6,1.2,-0.4,0.6,0.03325687840967599
0.95,-0.2,0.95,1.2,-0.4,0.6,0.005142613275734854
0.95,-0.2,1.2999999999999998,1.2,-0.4,0.6,0.0004441608963153793
0.95,-0.2,1.65,0.7,-0.4,0.6,5.879356909908561e-05
0.95,-0.2,2.0,0.2,-0.4,0.6,6.366211163728073e-06
0.95,0.0,0.6,0.2,-0.2,1.2999999999999998,0.0
0.95,0.0,0.95,0.2,-0.2,1.2999999999999998,0.0
0.95,0.0,1.2999999999999998,0.2,-0.2,1.2999999999999998,0.0
0.95,0.0,1.65,0.2,-0.2,1.2999999999999998,0.0
0.95,0.0,2.0,0.2,-0.2,1.2999999999999998,0.0
0.95,0.20000000000000007,0.6,1.2,0.4,0.6,0.03289595920991293
0.95,0.20000000000000007,0.95,1.2,0.4,0.6,0.004970584381028091
0.95,0.20000000000000007,1.2999999999999998,1.2,0.4,0.6,0.0003629418665426254
0.95,0.20000000000000007,1.65,0.7,0.4,0.6,3.5129185644145335e-05
0.95,0.20000000000000007,2.0,0.2,0.4,0.6,4.5414980207247736e-06
0.95,0.4,0.6,1.2,0.4,0.6,0.19026130139530095
0.95,0.4,0.95,1.2,0.4,0.6,0.06541300107738057
0.95,0.4,1.2999999999999998,1.2,0.4,0.6,0.025215104983375442
0.95,0.4,1.65,1.2,0.4,0.6,0.009976237526268009
0.95,0.4,2.0,1.2,0.4,0.6,0.0036921468040966854
1.2,-0.4,0.6,1.2,-0.4,0.6,0.1910549662806702
1.2,-0.4,0.95,1.2,-0.4,0.6,0.0659003038949522
1.2,-0.4,1.2999999999999998,1.2,-0.4,0.6,0.02553763662613247
1.2,-0.4,1.65,1.2,-0.4,0.6,0.010198475979460374
1.2,-0.4,2.0,1.2,-0.4,0.6,0.0038474553748838827
1.2,-0.2,0.6,1.2,-0.4,0.6,0.03325687840967599
1.2,-0.2,0.95,1.2,-0.4,0.6,0.005142613275734854
1.2,-0.2,1.2999999999999998,1.2,-0.4,0.6,0.0004441608963153793
1.2,-0.2,1.65,0.7,-0.4,0.6,5.879356909908561e-05
1.2,-0.2,2.0,0.2,-0.4,0.6,6.366211163728073e-06
1.2,0.0,0.6,0.2,-0.2,1.2999999999999998,0.0
1.2,0.0,0.95,0.2,-0.2,1.2999999999999998,0.0
1.2,0.0,1.2999999999999998,0.2,-0.2,1.2999999999999998,0.0
1.2,0.0,1.65,0.2,-0.2,1.2999999999999998,0.0
1.2,0.0,2.0,0.2,-0.2,1.2999999999999998,0.0
1.2,0.20000000000000007,0.6,1.2,0.4,0.6,0.03289595920991293
1.2,0.20000000000000007,0.95,1.2,0.4,0.6,0.004970584381028091
1.2,0.20000000000000007,1.2999999999999998,1.2,0.4,0.6,0.0003629418665426254
1.2,0.20000000000000007,1.65,0.7,0.4,0.6,3.5129185644145335e-05
1.2,0.20000000000000007,2.0,0.2,0.4,0.6,4.5414980207247736e-06
1.2,0.4,0.6,1.2,0.4,0.6,0.19026130139530095
1.2,0.4,0.95,1.2,0.4,0.6,0.06541300107738057
1.2,0.4,1.2999999999999998,1.2,0.4,0.6,0.025215104983375442
1.2,0.4,1.65,1.2,0.4,0.6,0.009976237526268009
1.2,0.4,2.0,1.2,0.4,0.6,0.0036921468040966854
